label,alpha,min_gap,exact,f1,changed,changed_orig_incorrect_new_correct,changed_orig_correct_new_incorrect,changed_orig_incorrect_new_incorrect,changed_orig_correct_new_correct,time_sec
top3,0.2,0.3,78.59035004730369,88.47935338820655,1963,252,853,445,413,0.3572521209716797
top3,0.2,0.35,77.73888363292336,88.10411428772495,2132,263,954,461,454,0.35579681396484375
top3,0.3,0.15,81.68401135288552,89.80344457202494,1158,182,456,306,214,0.34302210807800293
top3,0.3,0.2,80.93661305581836,89.46722860616867,1362,202,555,340,265,0.343890905380249
top3,0.3,0.25,80.17975402081362,89.17944145246209,1549,217,650,364,318,0.34670519828796387
top3,0.3,0.3,79.43235572374645,88.86759229231087,1740,237,749,382,372,0.3565189838409424
top3,0.3,0.35,78.66603595080416,88.50728286428024,1885,243,836,396,410,0.3695642948150635
top3,0.4,0.15,82.33680227057711,90.0667563199202,1028,178,383,264,203,0.3441910743713379
top3,0.4,0.2,81.68401135288552,89.78340260796683,1206,198,472,288,248,0.3434019088745117
top3,0.4,0.25,81.02175969725639,89.53331437890333,1370,210,554,308,298,0.3478579521179199
top3,0.4,0.3,80.38789025543993,89.28106093681518,1536,229,640,323,344,0.35198187828063965
top3,0.4,0.35,79.7445600756859,88.9755208207607,1658,234,713,335,376,0.3473529815673828
top3,0.5,0.15,83.72753074739829,90.68373746841253,696,148,206,170,172,0.34025001525878906
top3,0.5,0.2,83.45316934720908,90.56841475529784,791,163,250,176,202,0.34276318550109863
top3,0.5,0.25,83.18826868495742,90.464510264157,875,169,284,185,237,0.3454620838165283
top3,0.5,0.3,82.98959318826869,90.38669637721345,963,180,316,194,273,0.3465569019317627
top3,0.5,0.35,82.68684957426679,90.24044479374392,1032,184,352,201,295,0.34549522399902344
top3,0.6,0.15,83.97350993377484,90.84690655654403,494,108,140,99,147,0.33469104766845703
top3,0.6,0.2,83.78429517502366,90.77683208366618,542,114,166,99,163,0.33606505393981934
top3,0.6,0.25,83.65184484389782,90.74796018819067,588,116,182,102,188,0.34282398223876953
top3,0.6,0.3,83.57615894039735,90.71525317062083,629,123,197,103,206,0.34432101249694824
top3,0.6,0.35,83.50993377483444,90.69037743666277,653,126,207,103,217,0.34547996520996094
top3,0.7,0.15,84.13434247871334,90.9253848380156,345,74,89,66,116,0.3388552665710449
top3,0.7,0.2,84.08703878902554,90.90966199258602,365,76,96,66,127,0.3387892246246338
top3,0.7,0.25,84.03973509933775,90.89853436272615,375,76,101,66,132,0.3415069580078125
top3,0.7,0.3,84.03973509933775,90.89853436272615,376,76,101,66,133,0.34345412254333496
top3,0.7,0.35,84.03973509933775,90.89853436272615,376,76,101,66,133,0.34517407417297363
top3,0.8,0.15,84.03973509933775,90.84720163375562,205,37,62,37,69,0.3387629985809326
top3,0.8,0.2,84.03973509933775,90.84720163375562,205,37,62,37,69,0.3428950309753418
top3,0.8,0.25,84.03973509933775,90.84720163375562,205,37,62,37,69,0.34211015701293945
top3,0.8,0.3,84.03973509933775,90.84720163375562,205,37,62,37,69,0.3425600528717041
top3,0.8,0.35,84.03973509933775,90.84720163375562,205,37,62,37,69,0.3457629680633545
top5,0.2,0.15,80.03784295175024,88.88568895495995,1426,194,642,386,204,0.37159085273742676
top5,0.2,0.2,78.94985808893094,88.34850106194865,1669,213,776,425,255,0.34501194953918457
top5,0.2,0.25,77.65373699148533,87.78715373624567,1912,230,930,453,299,0.3472158908843994
top5,0.2,0.3,76.66035950804162,87.31450286021727,2128,247,1052,479,350,0.34787702560424805
top5,0.2,0.35,75.44938505203406,86.72742206616593,2315,253,1186,495,381,0.3478219509124756
top5,0.3,0.15,81.32450331125828,89.53229509240882,1197,195,507,311,184,0.3365790843963623
top5,0.3,0.2,80.44465468306528,89.1117059946397,1399,212,617,340,230,0.336961030960083
top5,0.3,0.25,79.47019867549669,88.66818461343641,1590,225,733,363,269,0.33852195739746094
top5,0.3,0.3,78.59981078524125,88.25783870066583,1765,236,836,382,311,0.34283018112182617
top5,0.3,0.35,77.68211920529801,87.80379202338672,1912,240,937,395,340,0.344210147857666
top5,0.4,0.15,82.35572374645223,90.06047747967553,984,176,379,255,174,0.33437681198120117
top5,0.4,0.2,81.68401135288552,89.73151416456713,1139,191,465,272,211,0.33930277824401855
top5,0.4,0.25,81.07852412488174,89.46757977893947,1276,201,539,290,246,0.34945201873779297
top5,0.4,0.3,80.42573320719016,89.1629904599225,1403,210,617,302,274,0.3569490909576416
top5,0.4,0.35,79.82024597918638,88.85315650254203,1506,214,685,311,296,0.34445691108703613
top5,0.5,0.15,83.41532639545885,90.55733669950588,740,157,248,169,166,0.34164905548095703
top5,0.5,0.2,83.11258278145695,90.4053864783949,838,171,294,178,195,0.34084010124206543
top5,0.5,0.25,82.77199621570483,90.2624113596977,922,177,336,185,224,0.3504910469055176
top5,0.5,0.3,82.46925260170293,90.13564316835992,996,185,376,191,244,0.34754395484924316
top5,0.5,0.35,82.22327341532639,90.02811071232378,1056,189,406,196,265,0.3463301658630371
top5,0.6,0.15,83.90728476821192,90.78906199317407,512,120,159,101,132,0.3388857841491699
top5,0.6,0.2,83.76537369914854,90.7383067198549,555,125,179,103,148,0.34600186347961426
top5,0.6,0.25,83.71807000946073,90.7156361811011,584,129,188,104,163,0.3401308059692383
top5,0.6,0.3,83.65184484389782,90.68919935712407,603,129,195,104,175,0.3391079902648926
top5,0.6,0.35,83.59508041627247,90.66454887883121,619,129,201,105,184,0.34403491020202637
top5,0.7,0.15,83.96404919583728,90.82595069935435,354,78,111,67,98,0.3426339626312256
top5,0.7,0.2,83.95458845789972,90.82658141521685,369,82,116,67,104,0.34466004371643066
